Place,Name,Talent Show,Ball,Snatch Game,Girl Groups,Acting,Stand-up,Makeover
TBA,Gawdland,TOP2,WIN,HIGH,HIGH,HIGH,SAFE,BTM2
TBA,Kate Butch,WIN,SAFE,HIGH,WIN,WIN,WIN,HIGH
TBA,Fontana,HIGH,SAFE,BTM2,SAFE,BTM2,HIGH,WIN
TBA,Mariah Balenciaga,SAFE,HIGH,WIN,LOW,HIGH,BTM2,LOW
5th,The Only Naomy,HIGH,BTM2,SAFE,HIGH,HIGH,LOW,ELIM
6th,Zahirah Zapanta,SAFE,SAFE,SAFE,SAFE,LOW,ELIM,
7th,Serena Morena,SAFE,ELIM,LOW,BTM2,ELIM,,
8th,Sminty Drop,HIGH,HIGH,SAFE,ELIM,,,
9th,Minty Fresh,SAFE,SAFE,ELIM,,,,
10th,Melinda Verga,SAFE,LOW,,,,,
