Place,Name,Design,Girl Groups,Acting,Design,Talent Show,Talent Show,Advert,Snatch Game,Rusical,Design,Roast,Makeover,Improv,Improv,Finale
1st,Myki Meeks,SAFE,SAFE,SAFE,SAFE,BYE,TOP2,HIGH,HIGH,WIN,HIGH,WIN,LOW,WIN,WIN,WINNER
2nd,Nini Coco,HIGH,SAFE,SAFE,SAFE,SAFE,BYE,SAFE,HIGH,SAFE,HIGH,LOW,ELIM,ELIM,BTM2,RUNNER UP
3rd,Darlene Mitchell,SAFE,LOW,HIGH,HIGH,SAFE,BYE,WIN,SAFE,HIGH,HIGH,HIGH,BTM2,HIGH,WIN,ELIM
4th,Juicy Love Dion,SAFE,SAFE,WIN,SAFE,WIN,BYE,BTM2,LOW,BTM2,HIGH,BTM2,HIGH,SAFE,ELIM,
5th,Jane Don't,TOP2,HIGH,HIGH,SAFE,BYE,WIN,HIGH,SAFE,HIGH,WIN,HIGH,HIGH,BTM2,,
6th,Discord Addams,SAFE,SAFE,SAFE,SAFE,BYE,SAFE,SAFE,WIN,LOW,HIGH,LOW,WIN,,,
7th,Kenya Pleaser,LOW,SAFE,SAFE,LOW,BYE,BTM2,SAFE,ELIM,SAFE,TOP2,ELIM,,,,
8th,Athena Dion,LOW,BTM2,SAFE,ELIM,BYE,SAFE,SAFE,SAFE,ELIM,,,,,,
9th,Mia Starr,SAFE,WIN,SAFE,SAFE,WIN,BYE,LOW,BTM2,,,,,,,
10th,Vita VonTesse Starr,WIN,SAFE,BTM2,WIN,BTM,ELIM,ELIM,,,,,,,,
11th,Ciara Myst,SAFE,SAFE,LOW,HIGH,SAFE,BYE,,,,,,,,,
12th,Briar Blush,SAFE,SAFE,ELIM,BTM2,,,,,,,,,,,
13th,Mandy Mango,SAFE,LOW,SAFE,,,,,,,,,,,,
14th,DD Fuego,LOW,ELIM,,,,,,,,,,,,,
